tempreture,wind_speed,humidity,visibility,pressure,time_now
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:14
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:15
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:15
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:16
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:17
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:18
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:19
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:19
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:20
13°C,6 km/h,77,4000m,1022.0,19/03/2022 00:05:21
